ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),TimeSinceStartinms,YYYY-MO-DD HH-MI-SS_SSS,Activity
-3.5413,-13.825,11.06,-3.6559,-4.4166,8.2946,2.4004,2.9114,-1.1264,3031524,2021-05-02 14:22:27:726,Jogging
-4.1951,-19.246,7.7636,-3.7846,-9.9154,4.772,5.0964,6.5735,0.072998,3031525,2021-05-02 14:22:27:727,Jogging
-4.1951,-19.504,9.7385,-1.3578,-10.287,6.4282,6.0824,5.4718,1.1704,3031526,2021-05-02 14:22:27:728,Jogging
-1.866,-19.532,10.188,14.982,-10.827,5.8285,6.6517,3.9172,2.6038,3031527,2021-05-02 14:22:27:729,Jogging
18.823,-19.532,-2.8058,20.66,-11.489,-8.1087,5.4281,-1.2633,-2.1866,3031528,2021-05-02 14:22:27:730,Jogging
4.7263,-13.539,-13.77,1.6306,-4.2369,-14.027,5.2751,-3.6258,-4.2486,3031529,2021-05-02 14:22:27:731,Jogging
-1.9341,-18.115,-15.895,-5.7732,-9.1557,-16.972,2.9496,-1.4352,-1.2523,3031530,2021-05-02 14:22:27:732,Jogging
-17.516,-2.9965,-15.282,-18.788,6.4042,-12.796,2.5217,2.0385,-1.6967,3031531,2021-05-02 14:22:27:733,Jogging
2.3699,1.6617,-5.5162,3.5379,9.9305,-0.37489,2.8607,5.2983,-0.58613,3031532,2021-05-02 14:22:27:734,Jogging
8.5127,5.2575,8.4446,7.7947,13.952,12.923,0.60812,9.6074,0.68692,3031533,2021-05-02 14:22:27:735,Jogging
5.7069,0.68102,-0.14982,2.841,9.1998,3.7728,0.49877,2.4621,0.26084,3031534,2021-05-02 14:22:27:736,Jogging
3.6366,-3.2008,-5.884,0.47702,4.9335,-1.4096,0.13806,-4.193,0.19364,3031535,2021-05-02 14:22:27:737,Jogging
-1.2803,-2.6696,-10.706,-3.6236,4.5307,-4.4738,0.29444,-5.8212,0.12798,3031536,2021-05-02 14:22:27:738,Jogging
-1.866,0.25879,-8.7987,-3.0857,6.0224,-0.95888,-0.93859,0.78832,-0.13134,3031537,2021-05-02 14:22:27:739,Jogging
1.6072,-1.0215,-3.1327,0.24328,4.1956,5.0582,-1.981,1.2682,0.10232,3031538,2021-05-02 14:22:27:740,Jogging
2.2882,-2.5742,0.8717,0.2013,3.0963,8.5957,-1.9377,-0.46212,0.089492,3031539,2021-05-02 14:22:27:741,Jogging
0.76274,-9.221,-1.1169,-1.1965,-2.5691,5.8174,-2.4447,-2.0369,0.40439,3031540,2021-05-02 14:22:27:742,Jogging
1.3757,-13.579,-1.6344,-0.43681,-5.9398,4.2409,-3.8008,-2.0714,1.1854,3031541,2021-05-02 14:22:27:743,Jogging
-1.2803,-19.436,-1.0351,-2.474,-10.433,2.6651,-5.5668,-1.248,1.9875,3031542,2021-05-02 14:22:27:744,Jogging
-7.9951,-19.518,-1.58,-8.0779,-10.222,1.5409,-5.776,-4.0357,1.0693,3031543,2021-05-02 14:22:27:745,Jogging
-12.381,-19.532,-2.3836,-12.092,-10.525,1.4861,-5.5296,-5.4947,2.1191,3031544,2021-05-02 14:22:27:746,Jogging
12.34,-19.532,-7.641,13.908,-11.536,-2.1832,-6.3069,-0.72876,3.2483,3031545,2021-05-02 14:22:27:747,Jogging
17.216,-19.532,2.7104,18.842,-11.858,8.5959,-4.7751,-1.222,-0.26725,3031546,2021-05-02 14:22:27:748,Jogging
10.678,-13.28,6.4833,8.1435,-3.8758,7.6272,-5.142,-5.3145,0.33353,3031547,2021-05-02 14:22:27:749,Jogging
6.7285,-3.4868,7.0553,3.767,5.8453,7.6143,-3.7306,-5.9471,0.54245,3031548,2021-05-02 14:22:27:750,Jogging
-0.32689,5.9521,6.3198,-3.421,15.258,6.3388,-2.1435,-4.0497,0.45601,3031549,2021-05-02 14:22:27:751,Jogging
-1.4165,6.1019,6.6331,-4.4611,15.293,5.0777,-0.11423,-2.2611,-0.41356,3031550,2021-05-02 14:22:27:752,Jogging
2.4108,5.0531,8.6081,-1.0798,13.752,5.7247,1.0055,-1.7688,-0.82711,3031551,2021-05-02 14:22:27:753,Jogging
2.8058,4.8625,9.507,-1.116,12.689,5.0863,1.47,-0.98563,-1.1112,3031552,2021-05-02 14:22:27:754,Jogging
1.1169,6.279,8.8668,-2.9585,11.24,1.4538,1.7281,0.98166,-1.6173,3031553,2021-05-02 14:22:27:755,Jogging
0.081722,3.732,6.5786,-3.7212,7.6208,-1.5813,2.2058,3.2803,-2.062,3031554,2021-05-02 14:22:27:756,Jogging
-3.3097,-1.1441,-5.2166,-6.4555,3.1405,-13.458,2.2513,4.6905,-1.9557,3031555,2021-05-02 14:22:27:757,Jogging
-4.5356,-2.6696,-8.4446,-6.8053,3.6078,-15.629,1.5015,5.306,-1.2025,3031556,2021-05-02 14:22:27:758,Jogging
